GENESIS table: 32161-0001
Companies, amount of waste generated: Germany, years,;;;;
types of waste;;;;
Waste generation survey;;;;
Germany;;;;
;;;Operations;Amount of waste generated
2010;EAV-100510-G; Zinc metallurgy: dross, scum (flammable);-;-
2010;EAV-100511-U; Scabies, scum (excluding 100510);6;0.4
2010;EAV-100599-U; Zinc metallurgy: wastes not otherwise specified;3;0.0
2010;EAV-100601-U; Copper metallurgy: slags (primary, secondary smelting);4;17.3
2010;EAV-100602-U; Coppermetal: Scabs,Scum (First,Second);8;8,7
2010;EAV-100603-G; Copper metallurgy: filter dust;6;1.6
2010;EAV-100604-U; Copper Metallurgy: Other particles and dust;7;2.5
2010;EAV-100606-G; Copper metallurgy: solid waste a.waste gas treatment;4;2.4
2010;EAV-100607-G; Copper metallurgy: slurries, filter c. a.exhaust tank;-;-
2010;EAV-100609-G; Copper metallurgy: Oil h.Abf. from cooling water tank;-;-
2010;EAV-100610-U; Waste from cooling water treatment (without 100609);-;-
2010;EAV-100699-U; Copper metallurgy: wastes not otherwise specified;3;0.3
2010;EAV-100701-U; Silver metal etc.: slags (first, second smelting);-;-
2010;EAV-100702-U; Silbermet.u.a.: dross, scum (first, second smith); 4; 0.0
2010;EAV-100703-U; Silver metal, among others: Solid waste from exhaust gas treatment;-;-
2010;EAV-100704-U; silver metal etc.: Other particles and dust;9;0.2
2010;EAV-100705-U; Silver metal etc.: sludge, filter cake a.exhaust gas tank.;-;-
2010;EAV-100707-G; Silbermet.ua.: Oily waste from cooling water tank.;-;-
2010;EAV-100708-U; Waste from cooling water treatment (without 100707);-;-
2010;EAV-100799-U; Silver, gold, platinum metallurgy: waste not otherwise specified;-;-
2010;EAV-100804-U; Non-ferrous metallurgy: particles and dust;12;1.7
2010;EAV-100808-G; Non-ferrous metals: salt slag (first, second smelting);-;-
2010;EAV-100809-U; Non-ferrous metallurgy: Other slags;8;32.3
2010;EAV-100810-G; Nonferrous metallurgy:dross,scum (flammable);3;0.1
2010;EAV-100811-U; Scabies, scum (excluding 100810);60;4.8
2010;EAV-100812-G; non-ferrous metal: tar Waste from anode manufacture.;-;-
2010;EAV-100813-U; Carbonaceous waste (excluding 100812);-;-
2010;EAV-100814-U; Non-ferrous metallurgy: anode scrap;-;-
2010;EAV-100815-G; Non-ferrous metallurgy: filter dust with hazardous level;23;3.3
2010;EAV-100816-U; filter dust (without 100815);9;0.2
2010;EAV-100817-G; Non-ferrous metallurgy: sludge, filter k.a. exhaust gas treatment;-;-
2010;EAV-100818-U; Sludge and filter cake from exhaust gas treatment.(oh.100817);-;-
2010;EAV-100819-G; Non-ferrous metallurgy: Oil H.Abf. from cooling water tank;-;-
2010;EAV-100820-U; Waste from cooling water treatment (without 100819);-;-
2010;EAV-100899-U; Non-ferrous metallurgy: wastes not otherwise specified;4;0.0
2010;EAV-100903-U; Iron,steel: furnace slag;113;274.5
2010;EAV-100905-G; Iron,steel: casting molds and sands before casting;6;2.2
2010;EAV-100906-U; Casting molds and sand before casting (oh.100905);42;128.8
2010;EAV-100907-G; Iron,steel: casting molds and sands after casting;4;2,4
2010;EAV-100908-U; Casting molds and sands after casting (without 100907);170;1587.7
2010;EAV-100909-G; Iron,steel: filter dust with dangerous substances;24;5.2
2010;EAV-100910-U; filter dust (without 100909);59;52.2
2010;EAV-100911-G; Iron,steel: other particles with hazardous substances;4;0.1
2010;EAV-100912-U; Other particles (excluding 100911);3;1.8
2010;EAV-100913-G; Iron,steel: abf. binders with hazardous St.;-;-
2010;EAV-100914-U; Binding agent waste (without 100913);-;-
2010;EAV-100915-G; Iron,steel: from crack-indicating substances;-;-
2010;EAV-100916-U; Waste from crack-indicating substances (oh.100915);-;-
2010;EAV-100999-U; Casting of iron and steel: wastes not otherwise specified;4;1,6
2010;EAV-101003-U; Non-ferrous metals: furnace slag;30;8.0
2010;EAV-101005-G; Non-ferrous metals: casting moulds, sands before casting;-;-
2010;EAV-101006-U; Casting molds and sand before casting (without 101005);13;11.3
2010;EAV-101007-G; Non-ferrous metals: casting moulds, sand after casting;3;2.0
2010;EAV-101008-U; Casting molds and sands after casting (oh. 101007);66;164.5
2010;EAV-101009-G; Non-ferrous metals: filter dust with hazardous substances;7;2.5
2010;EAV-101010-U; Filter dust (without 101009);17;2.3
2010;EAV-101011-G; Non-ferrous metals: And. particles with dangerous fabrics;-;-
2010;EAV-101012-U; Other particles (excluding 101011);4;0.4
2010;EAV-101013-G; Non-ferrous metal: Abf.v. Binding agents with hazardous tax;-;-
2010;EAV-101014-U; Binding waste (without 101013);-;-
2010;EAV-101015-G; Non-ferrous metals: waste from crack-indicating substances;-;-
2010;EAV-101016-U; Waste from crack-indicating substances (oh.101015);-;-
2010;EAV-101099-U; Casting of non-ferrous metals: wastes not otherwise specified;9;0.1
2010;EAV-101103-U; Glass fiber waste;48;25.7
2010;EAV-101105-U; Glass manufacture: particles and dust;27;4,9
2010;EAV-101109-G; Mixture waste with hazardous fabrics v. i.e. melts;10;0.4
2010;EAV-101110-U; Batch waste before melting (without 101109);24;4.6
2010;EAV-101111-G; glass waste in small particles and glass dust;13;1,3
2010;EAV-101112-U; glass waste (without 101111);229;214.3
2010;EAV-101113-G; Glass polishing and glass grinding sludge;30;0.9
2010;EAV-101114-U; Glass polishing and glass grinding sludge (without 101113);67;4.7
2010;EAV-101115-G; Glass manufacture: Solid waste from gas treatment;32;3.1
2010;EAV-101116-U; Solid waste from flue gas treatment (excluding 101115);11;0.6
2010;EAV-101117-G; Glass production: sludges, filters. from flue gas treatment;-;-
2010;EAV-101118-U; Sludge and filter cake from exhaust gas treatment.(oh.101117);-;-
2010;EAV-101119-G; Glass manuf.: Solid waste a. in-house Sewage treatment;7;0.4
2010;EAV-101120-U; solid waste a. operational Sewage treatment (oh.101119);11;1.2
2010;EAV-101199-U; Glass manufacture: wastes not otherwise specified;7;9,2
2010;EAV-101201-U; Ceramic products: raw mixtures before firing;48;39.1
2010;EAV-101203-U; Ceramic products: particles and dust;67;15.9
2010;EAV-101205-U; Ceramic products: slurries, filter c. a.exhaust tank;-;-
2010;EAV-101206-U; Pottery: discarded forms;41;11.0
2010;EAV-101208-U; waste from ceramic products, bricks, etc.;116;103.1
2010;EAV-101209-G; Ceramic products: solid waste a. Exhaust gas treatment;13;2.1
2010;EAV-101210-U; Solid waste from exhaust gas treatment (oh. 101209);56;10,1
2010;EAV-101211-G; Ceramic products: Glaze waste with heavy metals;5;0.5
2010;EAV-101212-U; glaze waste (without 101211);7;1.1
2010;EAV-101213-U; Ceramic products: sludge (in-house waste water treatment); 44; 20.7
2010;EAV-101299-U; Ceramic products,ceramic building materials: waste not otherwise specified;18;2.0
2010;EAV-101301-U; Cement etc.:waste from raw mixture before burning;-;-
2010;EAV-101304-U; Waste from calcination, hydration of quicklime;30;13.5
2010;EAV-101306-U; Cement etc.: particles, dust (except 101312.101313);42;134.2
2010;EAV-101307-U; Cement etc.: sludge, filter cake from exhaust gas treatment;-;-
2010;EAV-101309-G; Waste containing asbestos a. Manufacturing. v. asbestos cement;-;-
2010;EAV-101310-U; waste from production Asbestos cement(oh.101309);-;-
2010;EAV-101311-U; Composite waste (excluding 101309, 101310);33;44.0
2010;EAV-101312-G; Cement etc.: Solid waste from flue gas treatment;-;-
2010;EAV-101313-U; Solid waste from flue gas treatment (excluding 101312);4;13.8
2010;EAV-101314-U; Concrete waste and concrete sludge;111;215.6
2010;EAV-101399-U; Cement, gypsum, quicklime: wastes not otherwise specified;8;1,6
2010;EAV-101401-G; Crematoria: mercury h. Waste from gas cleaning;7;0.0
2010;EAV-11;Waste from chemical surface treatment;;
2010;EAV-110105-G; Surface finish: Acid pickling solutions;630;165.0
2010;EAV-110106-G; Surface treat.: Acids not otherwise specified;203;11.4
2010;EAV-110107-G; Surface finish: Alkaline pickling solutions;608;40.1
2010;EAV-110108-G; Surface treatment: phosphating sludge;210;7.9
2010;EAV-110109-G; Surface treatment: sludge, filter cake with gef.St.;677;53.4
2010;EAV-110110-U; sludge and filter cake (without 110109);73;39.6
2010;EAV-110111-G; Surface treatment: Aqueous flushing liquid. with tax; 656; 30.2
2010;EAV-110112-U; Aqueous rinsing fluids (excluding 110111);54;2.9
2010;EAV-110113-G; Surface treatment: Waste from degreasing with hazardous tax; 103; 5.2
2010;EAV-110114-U; Waste from degreasing (excluding 110113);14;0.2
2010;EAV-110115-G; Surface treatment: eluates, sludges a. membrane system;5;0.3
2010;EAV-110116-G; Surface treatment: ion exchange resins;22;0.1
2010;EAV-110198-G; Surface treatment: Other waste with hazardous St.;187;7.5
2010;EAV-110199-U; Surface treatment: waste not otherwise specified;10;14.4
2010;EAV-110202-G; Zinc hydrometallurgy sludges;7;175.1
2010;EAV-110203-U; waste from the manufacture of anodes;-;-
2010;EAV-110205-G; Waste from copper hydrometallurgy processes;3;0.2
2010;EAV-110206-U; waste from process. d.Kupfer-Hydromet.(oh.110205);3;0.1
2010;EAV-110207-G; Non-ferrous hydrometallurgy: Other Abf. with dangerous tax;-;-
2010;EAV-110299-U; Non-ferrous hydrometallurgy: wastes not otherwise specified;4;16,7
2010;EAV-110301-G; Sludges, solids from hardening processes: cyanidh. waste;41;0.3
2010;EAV-110302-G; Sludge, solids from hardening processes: Other waste;73;0.9
2010;EAV-110501-U; Galvanizing: hard zinc;20;5.1
2010;EAV-110502-U; Zinc plating: zinc ash;22;2.8
2010;EAV-110503-G; Galvanizing: solid waste from flue gas treatment;5;0.1
2010;EAV-110504-G; Zinc plating: Used flux;3;0.2
2010;EAV-110599-U; galvanizing: waste not otherwise specified;-;-
2010;EAV-12;Waste from mechanical shaping processes;;
2010;EAV-120101-U; Iron filings and turnings;2583;1462.6
2010;EAV-120102-U; iron dust and particles; 2313; 2477.0
2010;EAV-120103-U; Non-ferrous metal filings and turnings;1785;293.7
2010;EAV-120104-U; non-ferrous metal dust and particles; 1221; 262.2
2010;EAV-120105-U; Plastic shavings and turnings;588;63.5
2010;EAV-120106-G; Mineral oil-based machining oils containing halogens;33;0.3
2010;EAV-120107-G; Halogen-free mineral-based machining oils;151;23.5
2010;EAV-120108-G; Halogen-containing processing emulsions and solutions;51;1.8
2010;EAV-120109-G; Halogen-free machining emulsions and solutions;4811;739.1
2010;EAV-120110-G; Synthetic machining oils;55;1.8
2010;EAV-120112-G; Used waxes and fats;650;8.7
2010;EAV-120113-U; sweat debris;88;23.4
2010;EAV-120114-G; Processing sludge containing hazardous substances;360;14.0
2010;EAV-120115-U; Machining sludge (without 120114);128;16.1
2010;EAV-120116-G; Abrasive waste (with dangerous substances);153;10.2
2010;EAV-120117-U; Abrasive waste (without 120116);722;55.1
2010;EAV-120118-G; Oily metal sludge (grinding sludge, etc.);655;53.7
2010;EAV-120119-G; Easily biodegradable machining oils;4;0.0
2010;EAV-120120-G; Used honing and abrasives with hazardous substances;91;6.1
2010;EAV-120121-U; Used honing and abrasives (without 120120);492;13.2
2010;EAV-120199-U; surface treatment Metals, plastics: waste not otherwise specified;208;106.1
2010;EAV-120301-G; Aqueous washing liquids;416;19.8
2010;EAV-120302-G; vapor degreasing waste;19;2.0
2010;EAV-13;Oil waste and liquid fuel waste;;
2010;EAV-130101-G; Hydraulic oils containing PCB;12;0.0
2010;EAV-130104-G; Hydraulic oils: Chlorinated emulsions;4;0.3
2010;EAV-130105-G; Hydraulic Oils: Non-chlorinated emulsions;174;57.7
2010;EAV-130109-G; Chlorinated hydraulic oils based on mineral oil;4;0.0
2010;EAV-130110-G; Mineral-based non-chlorinated hydraulic oils;322;3.2
2010;EAV-130111-G; Synthetic hydraulic oils;28;0.6
2010;EAV-130112-G; Easily biodegradable hydraulic oils;15;0.1
2010;EAV-130113-G; Other hydraulic oils;58;0.6
2010;EAV-130204-G; Chlorinated engine, gear and lubricating oils;150;0.9
2010;EAV-130205-G; Non-chlorinated machine, gear and Lubricating oils; 6294; 96.0
2010;EAV-130206-G; Synthetic engine, gear and lubricating oils;103;0.4
2010;EAV-130207-G; Easily biodegradable. Machine, gear oils;13;0.0
2010;EAV-130208-G; Other engine, gear and lubricating oils;609;6.5
2010;EAV-130301-G; Insulating and heat transfer oils with PCB;56;0.7
2010;EAV-130306-G; Chlorine. Insulating and heat transfer oils(oh.130301);-;-
2010;EAV-130307-G; Non-chlorinated insulating and heat transfer oils;190;6.0
2010;EAV-130308-G; Synthetic insulating and heat transfer oils;29;0.8
2010;EAV-130309-G; Biologist easily degradable. Insulation and Heat transfer oils;-;-
2010;EAV-130310-G; Other insulating and heat transfer oils;38;0.2
2010;EAV-130401-G; Bilge oils from inland shipping;-;-
2010;EAV-130402-G; Bilge oils from jetty drains;-;-
2010;EAV-130403-G; Bilge oils from other shipping;23;5,4
2010;EAV-130501-G; Solid waste from grit chambers and oil/water separators;311;14.5
2010;EAV-130502-G; Sludges from oil/water separators;1982;56.3
2010;EAV-130503-G; sludges from intake shafts;555;21.9
2010;EAV-130506-G; Oils from oil/water separators;67;1.9
2010;EAV-130507-G; Oily water from oil/water separators;374;16.4
2010;EAV-130508-G; Waste mixtures from sand traps, oil/water separators; 935; 23.2
2010;EAV-130701-G; Heating oil and diesel;136;1.0
2010;EAV-130702-G; Gasoline;65;0.9
2010;EAV-130703-G; Other fuels (including mixtures);218;7.1
2010;EAV-130801-G; Oil waste: sludges or emulsions from desalinators;-;-
2010;EAV-130802-G; Oil Waste: Other Emulsions;441;14.0
2010;EAV-130899-G; Oil waste: waste not otherwise specified;386;14.6
2010;EAV-14;Waste from organic solvents, coolants;;
2010;EAV-140601-G; chlorofluorocarbons, HCFC, HFC;81;0.1
2010;EAV-140602-G; Other halogenated solvents and solvent mixtures;469;3.8
2010;EAV-140603-G; Other solvents and solvent mixtures;3358;45.9
2010;EAV-140604-G; sludge, solid waste (halogenated solvents);30;0.6
2010;EAV-140605-G; Sludges, solid waste (other solvents);88;2.1
2010;EAV-15;Packaging waste, absorbent masses, wipes;;
2010;EAV-150101-U; Paper and cardboard packaging;12275;1656.2
2010;EAV-150102-U; Plastic packaging;8911;424.4
2010;EAV-150103-U; Wooden packaging;6122;348.3
2010;EAV-150104-U; metal packaging;1035;48.4
2010;EAV-150105-U; Composite packaging;417;68.7
2010;EAV-15010600-U; Mixed packs not differentiable;6159;610.6
2010;EAV-15010601-U; Lightweight packaging (LVP);1535;34.9
2010;EAV-15010602-U; Mixed recyclables together with lightweight packaging;-;-
2010;EAV-150107-U; Glass packaging;947;118.4
2010;EAV-150109-U; Textile packaging;30;0.9
2010;EAV-150110-G; Packaging with residues of dangerous substances;3919;36.1
2010;EAV-150111-G; metal packaging;122;0.3
2010;EAV-150202-G; absorbent and filter materials, wipes;8287;118.6
2010;EAV-150203-U; Absorbent and filter materials (without 150202);545;25.0
2010;EAV-16;Wastes not included elsewhere in the inventory;;
2010;EAV-160103-U; Used tires;685;60.9
2010;EAV-160104-G; end-of-life vehicles;26;12.8
2010;EAV-160106-U; end-of-life vehicles without hazardous components;16;0.7
2010;EAV-160107-G; Old vehicles: oil filters;434;1.4
2010;EAV-160108-G; End-of-life vehicles: components containing mercury;5;0.0
2010;EAV-160109-G; End-of-life vehicles: components containing PCBs;6;0.1
2010;EAV-160110-G; End-of-life vehicles: Explosive components (e.g. from airbags);38;0.4
2010;EAV-160111-G; End-of-life vehicles: brake pads containing asbestos;3;0.0
2010;EAV-160112-U; Brake pads (without 160111);30;2.7
2010;EAV-160113-G; Old vehicles: brake fluids;173;0.7
2010;EAV-160114-G; End-of-life vehicles: antifreeze m.dangerous. fabrics;488;3.6
2010;EAV-160115-U; Antifreeze (without 160114);24;0.1
2010;EAV-160116-U; End-of-life vehicles: LPG tanks;-;-
2010;EAV-160117-U; End-of-life vehicles: ferrous metals;294;217.0
2010;EAV-160118-U; End-of-life vehicles: non-ferrous metals;137;17.6
2010;EAV-160119-U; End-of-life vehicles: plastics;182;9.5
2010;EAV-160120-U; End-of-life vehicles: glass;122;7.9
2010;EAV-16012100-G; dangerous Components (oh.160107-160111,160113-160114);25;1.1
2010;EAV-16012101-G; dangerous metal.components (oh.160107-11,160113-14);7;0,6
2010;EAV-16012102-G; dangerous n.metal.components(without.160107-11,160113-14);-;-
2010;EAV-16012200-U; Components not differentiable;16;3,2
2010;EAV-16012201-U; Metallic components;32;0.7
2010;EAV-16012202-U; Non-metallic components;6;0.1
2010;EAV-160199-U; End-of-life vehicles: waste n.e.c.;31;2,4
2010;EAV-160209-G; Transformers & Capacitors containing PCB.;277;0.5
2010;EAV-160210-G; Used equipment containing PCB (oh.160209);37;0.1
2010;EAV-160211-G; Used equipment;725;1.1
2010;EAV-160212-G; Used equipment containing free asbestos;50;0.3
2010;EAV-160213-G; Used devices with dangerous components (oh.160209-12);2305;23.8
2010;EAV-160214-U; Used devices (without 160209 to 160213);1663;21.3
2010;EAV-16021500-G; Hazardous components removed from used equipment;55;0.3
2010;EAV-16021501-G; Waste containing mercury;10;0.0
2010;EAV-16021502-G; printed circuit boards;57;0.4
2010;EAV-16021503-G; Toner cartridges;251;0.3
2010;EAV-16021504-G; Plastics with brominated flame retardant;-;-
2010;EAV-16021505-G; Components containing asbestos;4;0.1
2010;EAV-16021506-G; cathode ray tubes;6;0.0
2010;EAV-16021507-G; Gas discharge lamps;14;0.0
2010;EAV-16021508-G; Liquid crystal displays;-;-
2010;EAV-16021509-G; External electrical wiring;43;0.2
2010;EAV-16021510-G; Components containing refractory ceramic fibers;-;-
2010;EAV-16021511-G; Electrolytic - Capacitors;3;0.0
2010;EAV-16021512-G; Photoconductor drums containing cadmium or selenium;-;-
2010;EAV-16021600-U; Remove from used devices. Components (oh.160215);283;6.2
2010;EAV-16021601-U; External electrical wiring (including cables);181;0.7
2010;EAV-160303-G; Bad batches: inorganic waste with hazardous substances; 44; 1.3
2010;EAV-160304-U; Inorganic waste (excluding 160303);86;5.4
2010;EAV-160305-G; Bad batches: Organic waste with hazardous substances;94;3.1
2010;EAV-160306-U; Organic waste (excluding 160305);116;14.5
2010;EAV-160401-G; ammunition waste;-;-
2010;EAV-160402-G; fireworks waste;4;0.1
2010;EAV-160403-G; Other explosive waste;14;0.2
2010;EAV-160504-G; Gases in pressure vessels containing dangerous substances;1013;2.0
